"软件架构设计"	"<p>软件架构设计</p>"	"<p>什么是架构</p><p>计算机功底</p><p>技术架构之道</p><p>业务架构之道</p><p>从架构到技术管理</p>"	"软件架构设计"
"一"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;什么是架构</p>"	"<p>五花八门的架构师职业</p><p>架构的道与术</p>"	"软件架构设计"
"1"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;什么是架构</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;五花八门的架构师职业</p>"	"<p>1.1 架构师职业分类</p><p>1.2 架构的分类</p>"	"软件架构设计"
"2"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;什么是架构</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;架构的道与术</p>"	"<p>2.1 何为道，何为术</p><p>2.2 道域术的辩证关系</p>"	"软件架构设计"
"二"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;计算机功底</p>"	"<p>语言</p><p>操作系统</p><p>网络</p><p>数据库</p><p>框架、软件与中间件</p>"	"软件架构设计"
"3"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;计算机功底</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;语言</p>"	"<p>3.1 层出不穷的编程语言</p><p>3.2 精通一门语言</p>"	"软件架构设计"
"4"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;计算机功底</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;操作系统</p>"	"<p>4.1 缓冲I/O和直接I/O</p><p>内存映射文件与零拷贝</p><p>网络I/O模型</p><p>进程、线程和协程</p><p>无锁（内存屏障与CAS）</p>"	"软件架构设计"
"4.2"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;计算机功底</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;操作系统</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;内存映射文件与零拷贝</p>"	"<p>4.2.1 内存映射文件</p><p>零拷贝</p>"	"软件架构设计"
"4.2.2"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;计算机功底</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;操作系统</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;内存映射文件与零拷贝</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;零拷贝</p>"	"<p>当用户把磁盘文件通过网络发送出去时</p>"	"软件架构设计"
"4.2.2.1"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;计算机功底</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;操作系统</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;内存映射文件与零拷贝</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;零拷贝</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;当用户把磁盘文件通过网络发送出去时</p>"	"<p>利用直接I/O：2次DMA拷贝，2次内存拷贝</p><p>利用内存映射文件：2次DMA拷贝，1次内存拷贝</p><p>零拷贝：2次DMA拷贝</p>"	"软件架构设计"
